useSIMD, doReduction, arraySize, megaOpsSecAvg, megaOpsSecBest, timeAvg, timeBest
0, 0, 536870912, 1312.273064, 1339.914027, 4.0911524186e-01, 4.0067564114e-01
0, 0, 268435456, 1299.883603, 1329.190622, 2.0650730210e-01, 2.0195407001e-01
0, 0, 134217728, 1312.519491, 1343.286150, 1.0225960754e-01, 9.9917450920e-02
0, 0, 67108864, 1303.986549, 1332.704258, 5.1464383630e-02, 5.0355406012e-02
0, 0, 33554432, 1312.525389, 1342.951944, 2.5564787001e-02, 2.4985579075e-02
0, 0, 16777216, 1291.800732, 1325.052527, 1.2987464387e-02, 1.2661547866e-02
0, 0, 8388608, 1302.748915, 1345.065863, 6.4391594613e-03, 6.2365778722e-03
0, 0, 4194304, 1309.906863, 1354.809340, 3.2019864302e-03, 3.0958629213e-03
0, 0, 2097152, 1310.436777, 1363.479989, 1.6003458062e-03, 1.5380878467e-03
0, 0, 1048576, 1309.529271, 1363.813405, 8.0072742421e-04, 7.6885591261e-04
0, 0, 524288, 1317.731966, 1370.063766, 3.9787150454e-04, 3.8267415948e-04
0, 0, 262144, 1320.045925, 1374.799021, 1.9858703017e-04, 1.9067805260e-04
0, 0, 131072, 1304.103272, 1373.330032, 1.0050737765e-04, 9.5441006124e-05
0, 0, 65536, 1334.947950, 1379.934878, 4.9092550762e-05, 4.7492096201e-05
0, 0, 32768, 1306.382381, 1379.589942, 2.5083008222e-05, 2.3751985282e-05
0, 0, 16384, 1333.787177, 1383.305370, 1.2283818796e-05, 1.1844094843e-05
0, 0, 8192, 1341.839445, 1408.276180, 6.1050523072e-06, 5.8170408010e-06
0, 0, 4096, 1335.746797, 1395.540698, 3.0664494261e-06, 2.9350630939e-06
0, 0, 2048, 1241.666976, 1363.523953, 1.6493955627e-06, 1.5019904822e-06
0, 0, 1024, 1161.936676, 1344.146244, 8.8128726929e-07, 7.6182186604e-07
0, 0, 512, 962.626184, 1319.941930, 5.3187832236e-07, 3.8789585233e-07
0, 0, 256, 679.717871, 1053.172057, 3.7662684917e-07, 2.4307519197e-07
